problem,hc_fitness,hc_time,ec_best_fitness,ec_best_time,ec_best_strategy,ec_best_population,ec_best_offspring,ec_improvement
problem_g_10,1497.663648225291,0.06240200996398926,1497.6636482252907,0.3675110340118408,mu+lambda,50,100,0.0
problem_g_100,4513.631303594354,0.2023177146911621,4435.108689334303,1.3631701469421387,mu+lambda,50,100,1.74
problem_g_1000,35085.070013204786,1.7871050834655762,30055.450717146625,344.7679181098938,mu+lambda,100,300,14.34
problem_g_20,1809.4071428865402,0.07671976089477539,1755.5146770830047,0.4255561828613281,mu+lambda,50,100,2.98
problem_g_200,7992.8858420520855,0.40123605728149414,7502.233719143013,4.656016111373901,"mu,lambda",150,100,6.14
problem_g_50,2867.868607867957,0.12825870513916016,2723.5469515627224,2.5152409076690674,"mu,lambda",100,300,5.03
problem_g_500,16658.68016922251,1.0343291759490967,15984.432642435473,98.69250893592834,mu+lambda,100,300,4.05
problem_r1_10,214.38444767176304,0.060961008071899414,184.27344079993895,0.36403822898864746,"mu,lambda",50,100,14.05
problem_r1_100,978.979949283783,0.20409488677978516,802.6869031668848,3.2160837650299072,"mu,lambda",50,200,18.01
problem_r1_1000,7631.196375257503,1.7894330024719238,5320.890253959862,372.20898818969727,"mu,lambda",150,300,30.27
problem_r1_20,382.8056412251891,0.0793910026550293,337.29487214725555,1.291670799255371,"mu,lambda",150,200,11.89
problem_r1_200,1865.9777904538566,0.36022496223449707,1280.7457501012698,8.622575759887695,"mu,lambda",50,200,31.36
problem_r1_50,717.8181499598543,0.1265549659729004,561.2870859167022,2.2623610496520996,"mu,lambda",150,300,21.81
problem_r1_500,3694.7543160290293,0.9902400970458984,2891.183257382308,71.57402610778809,"mu,lambda",100,200,21.75
problem_r2_10,-340.0055246288031,0.06104302406311035,-411.7017155524985,0.8464040756225586,mu+lambda,50,200,-21.09
problem_r2_100,-4233.796556853905,0.2187950611114502,-4621.4609201514895,5.517510175704956,"mu,lambda",150,300,-9.16
problem_r2_1000,-43939.11951968567,2.0086069107055664,-46608.66874054959,274.5747048854828,mu+lambda,150,300,-6.08
problem_r2_20,-691.0770939280608,0.08719515800476074,-845.4142236702369,1.0214481353759766,"mu,lambda",150,200,-22.33
problem_r2_200,-8319.95433952034,0.35079503059387207,-9432.647287616222,9.742402076721191,"mu,lambda",150,300,-13.37
problem_r2_50,-1799.6896889362868,0.12873005867004395,-2244.7682120408326,0.6696009635925293,"mu,lambda",50,100,-24.73
problem_r2_500,-21618.315479381006,0.9596271514892578,-23401.710225971347,101.32102704048157,"mu,lambda",150,300,-8.25
test_problem,3119.13,0.07614302635192871,2823.7899999999995,0.8644821643829346,mu+lambda,50,200,9.47
