problem,solver,best_fitness,execution_time,population_size,offspring_size,generations,strategy,mutation_rate
problem_r2_200,EC,-9014.111352906079,5.217665672302246,50,100,100,mu+lambda,0.1
problem_r2_200,EC,-9170.579109434606,4.900269031524658,50,100,100,"mu,lambda",0.1
problem_r2_200,EC,-9198.827684645103,10.973278999328613,50,200,100,mu+lambda,0.1
problem_r2_200,EC,-9150.206851106846,10.912528991699219,50,200,100,"mu,lambda",0.1
problem_r2_200,EC,-9235.214338917342,16.33736491203308,50,300,100,mu+lambda,0.1
problem_r2_200,EC,-9134.840126783165,16.556274890899658,50,300,100,"mu,lambda",0.1
problem_r2_200,EC,-9037.094330026343,5.2331788539886475,100,100,100,mu+lambda,0.1
problem_r2_200,EC,-9214.131661926003,5.346508026123047,100,100,100,"mu,lambda",0.1
problem_r2_200,EC,-9041.319189326583,11.187638998031616,100,200,100,mu+lambda,0.1
problem_r2_200,EC,-9187.491264024873,11.522836923599243,100,200,100,"mu,lambda",0.1
problem_r2_200,EC,-9152.198256344835,16.937225818634033,100,300,100,mu+lambda,0.1
problem_r2_200,EC,-9178.045487287558,16.599172830581665,100,300,100,"mu,lambda",0.1
problem_r2_200,EC,-9116.310282980678,6.288014888763428,150,100,100,mu+lambda,0.1
problem_r2_200,EC,-9093.36695356301,7.116830110549927,150,100,100,"mu,lambda",0.1
problem_r2_200,EC,-9290.625575481134,12.3368399143219,150,200,100,mu+lambda,0.1
problem_r2_200,EC,-9121.724229326877,12.01301908493042,150,200,100,"mu,lambda",0.1
problem_r2_200,EC,-9210.697450248581,16.289199113845825,150,300,100,mu+lambda,0.1
problem_r2_200,EC,-9181.074618814937,16.33419895172119,150,300,100,"mu,lambda",0.1
problem_r2_200,EC,-8952.421330872066,5.948321104049683,50,100,100,mu+lambda,0.2
problem_r2_200,EC,-9121.98560395634,5.700405836105347,50,100,100,"mu,lambda",0.2
problem_r2_200,EC,-9086.083224333945,11.040574789047241,50,200,100,mu+lambda,0.2
problem_r2_200,EC,-9163.907120139764,9.591438055038452,50,200,100,"mu,lambda",0.2
problem_r2_200,EC,-9245.06460654837,14.899744987487793,50,300,100,mu+lambda,0.2
problem_r2_200,EC,-9265.965271079096,14.859790086746216,50,300,100,"mu,lambda",0.2
problem_r2_200,EC,-9124.953855319342,5.131748914718628,100,100,100,mu+lambda,0.2
problem_r2_200,EC,-9070.765664646913,5.7951438426971436,100,100,100,"mu,lambda",0.2
problem_r2_200,EC,-9314.724417514011,9.762020111083984,100,200,100,mu+lambda,0.2
problem_r2_200,EC,-9157.73304729698,10.68493103981018,100,200,100,"mu,lambda",0.2
problem_r2_200,EC,-9059.292902270447,16.600406169891357,100,300,100,mu+lambda,0.2
problem_r2_200,EC,-9277.946531731493,13.730243921279907,100,300,100,"mu,lambda",0.2
problem_r2_200,EC,-9205.72720055882,5.25537109375,150,100,100,mu+lambda,0.2
problem_r2_200,EC,-9074.01513592122,5.90312385559082,150,100,100,"mu,lambda",0.2
problem_r2_200,EC,-9147.54305012918,10.52397632598877,150,200,100,mu+lambda,0.2
problem_r2_200,EC,-9285.597184930093,9.891248226165771,150,200,100,"mu,lambda",0.2
problem_r2_200,EC,-9239.199117182809,16.165898084640503,150,300,100,mu+lambda,0.2
problem_r2_200,EC,-9137.88364283422,16.053239822387695,150,300,100,"mu,lambda",0.2
problem_r2_200,EC,-9307.37910176842,4.859248876571655,50,100,100,mu+lambda,0.3
problem_r2_200,EC,-8929.968326265443,5.277506113052368,50,100,100,"mu,lambda",0.3
problem_r2_200,EC,-9003.448764249506,10.319369077682495,50,200,100,mu+lambda,0.3
problem_r2_200,EC,-9215.4540043936,9.635133981704712,50,200,100,"mu,lambda",0.3
problem_r2_200,EC,-9145.224597384411,14.621257781982422,50,300,100,mu+lambda,0.3
problem_r2_200,EC,-9248.417201765476,14.668308973312378,50,300,100,"mu,lambda",0.3
problem_r2_200,EC,-9169.944713137853,5.732254266738892,100,100,100,mu+lambda,0.3
problem_r2_200,EC,-9146.315485514133,5.648834943771362,100,100,100,"mu,lambda",0.3
problem_r2_200,EC,-9250.220910369053,10.061567783355713,100,200,100,mu+lambda,0.3
problem_r2_200,EC,-9150.713261818248,10.815830945968628,100,200,100,"mu,lambda",0.3
problem_r2_200,EC,-9260.965514761469,12.197438955307007,100,300,100,mu+lambda,0.3
problem_r2_200,EC,-9335.649556531936,11.807186126708984,100,300,100,"mu,lambda",0.3
problem_r2_200,EC,-9154.387928788998,5.402568817138672,150,100,100,mu+lambda,0.3
problem_r2_200,EC,-9161.584324990648,5.073280096054077,150,100,100,"mu,lambda",0.3
problem_r2_200,EC,-9237.470669540613,8.799913883209229,150,200,100,mu+lambda,0.3
problem_r2_200,EC,-9227.462178815056,8.052397012710571,150,200,100,"mu,lambda",0.3
problem_r2_200,EC,-9188.961064031148,10.914026021957397,150,300,100,mu+lambda,0.3
problem_r2_200,EC,-9432.647287616222,9.742402076721191,150,300,100,"mu,lambda",0.3
